Id,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SaleType
2431,5,1950,864,1238,1,1,WD
2432,5,1959,1040,1040,1,1,WD
2433,5,1958,1170,1170,1,1,WD
2434,5,1960,1242,1242,1,1,WD
2435,5,1960,1377,1377,1,1,WD
2436,5,1961,0,925,1,1,WD
2437,5,1962,864,864,1,1,WD
2438,5,1962,896,936,1,1,WD
2439,5,1926,850,960,1,2,WD
2440,6,1927,845,1296,1,2,WD
2441,5,1922,1022,1022,1,1,WD
2442,5,1920,967,967,1,1,WD
2443,5,1940,808,1072,1,2,WD
2444,5,1900,680,1174,1,2,WD
2445,4,1900,570,1141,1,1,ConLw
2446,4,1900,1075,1798,2,2,WD
2447,8,1910,725,1772,2,2,WD
2448,6,1927,728,1642,1,1,WD
2449,5,1910,616,1232,1,2,WD
2450,6,1910,926,1650,2,2,WD
2451,5,1930,687,1358,1,1,WD
2452,7,1879,819,2454,2,2,WD
2453,4,1956,0,968,1,1,WD
2454,4,1949,0,1382,2,1,WD
2455,5,1925,756,1060,1,1,WD
2456,5,1950,910,1435,1,1,WD
2457,5,1939,728,1274,2,1,CWD
2458,6,1939,600,1232,1,1,WD
2459,5,1939,884,884,1,1,WD
2460,6,1938,861,1409,1,2,WD
2461,5,1939,672,1322,1,1,WD
2462,5,1930,966,1426,1,1,WD
2463,5,1926,756,1281,1,2,WD
2464,6,1918,1100,2264,2,1,WD
2465,6,1920,768,1376,1,2,WD
2466,5,1926,750,1316,1,2,ConLw
2467,7,1929,672,1344,1,2,WD
2468,5,1901,592,1173,2,1,WD
2469,5,1901,969,1214,1,1,WD
2470,6,1963,741,2294,3,2,WD
2471,7,1950,976,1952,1,1,WD
2472,6,1915,1138,2180,1,2,WD
2473,4,1958,808,1315,2,2,COD
2474,4,1910,771,1484,2,1,COD
2475,7,1937,1005,2267,1,2,WD
2476,5,1942,672,1282,1,1,WD
2477,5,1963,925,999,1,1,WD
2478,5,1964,1420,1452,1,2,WD
2479,4,1964,1005,1005,1,2,WD
2480,5,1964,980,1020,2,2,WD
2481,5,1966,1040,1040,1,1,WD
2482,5,1971,768,868,1,2,WD
2483,5,1968,876,897,1,1,WD
2484,5,1967,943,943,1,2,WD
2485,5,1966,912,912,1,1,WD
2486,5,1956,1240,1375,1,1,WD
2487,5,1920,671,2654,3,2,WD
2488,7,1940,680,1302,1,1,WD
2489,6,1954,967,1299,1,2,WD
2490,5,1958,1158,1176,1,1,NA
2491,4,1945,0,998,1,2,WD
2492,6,1984,1190,1522,2,2,WD
2493,5,1948,409,1325,2,2,WD
2494,5,1953,1073,1630,2,2,COD
2495,4,1946,484,1242,1,1,WD
2496,6,1954,1288,2422,3,2,WD
2497,6,1954,988,1626,1,1,WD
2498,5,1958,864,864,1,1,WD
2499,4,1958,0,943,1,1,WD
2500,5,1984,1038,1038,2,1,WD
2501,5,1951,1342,1342,1,1,WD
2502,5,1951,1080,1480,1,1,WD
2503,4,1920,951,1362,2,1,WD
2504,6,1984,1105,1822,2,2,WD
2505,7,1994,779,1958,2,2,CWD
2506,8,2007,1643,1651,2,3,New
2507,8,2006,2140,2140,2,3,New
2508,8,2007,1643,1651,2,3,New
2509,7,2005,1546,1546,2,3,WD
2510,8,2006,1489,1500,2,2,WD
2511,7,2005,1270,1270,2,2,WD
2512,7,2005,879,1795,2,2,WD
2513,7,1988,929,1873,2,2,WD
2514,8,1976,966,1743,0,2,WD
2515,5,1994,1022,1022,1,2,WD
2516,6,1997,635,1308,2,2,WD
2517,5,1994,990,990,1,1,WD
2518,5,1996,1097,1097,1,1,WD
2519,7,1999,988,1873,2,2,WD
2520,7,1998,853,1753,2,2,WD
2521,7,2001,845,1690,2,2,WD
2522,7,2000,985,1842,2,2,WD
2523,5,1974,864,894,1,2,WD
2524,5,1976,1015,1025,2,2,WD
2525,5,1977,995,1009,2,2,WD
2526,5,1977,1040,1040,1,2,WD
2527,5,1977,876,907,1,1,WD
2528,5,1975,864,879,1,2,Con
2529,5,1972,864,864,1,2,WD
2530,4,1972,385,875,1,2,WD
2531,7,2000,1673,1673,2,2,WD
2532,7,2003,979,1932,2,2,WD
2533,7,2002,860,1729,2,2,WD
2534,8,1994,1556,1592,2,2,WD
2535,8,2001,1531,2439,2,2,WD
2536,7,1996,860,1992,2,2,WD
2537,8,1999,1341,1341,1,2,WD
2538,7,2007,738,1476,2,2,New
2539,7,2005,1169,1190,2,2,WD
2540,6,2006,1330,1330,2,2,New
2541,7,2006,738,1491,2,2,WD
2542,5,2005,768,1536,2,2,WD
2543,5,1967,936,936,1,1,WD
2544,4,1963,1088,1088,1,2,COD
2545,5,1925,901,1351,1,2,WD
2546,6,1960,1179,1179,1,2,WD
2547,6,1976,960,1044,1,2,WD
2548,5,1979,0,2233,2,2,WD
2549,5,2005,734,1408,2,2,WD
2550,10,2008,5095,5095,2,3,New
2551,6,2005,547,1072,1,2,WD
2552,5,1959,960,960,1,1,WD
2553,4,1955,0,1152,2,0,WD
2554,5,1946,1195,1195,2,0,WD
2555,6,1920,660,865,1,1,WD
2556,4,1955,768,768,1,1,WD
2557,4,1955,864,864,1,2,COD
2558,5,1923,1296,2592,2,0,WD
2559,5,1926,1290,1422,1,1,WD
2560,6,1921,651,1298,2,1,WD
2561,7,1930,531,1098,1,1,WD
2562,6,1921,585,1436,1,1,CWD
2563,6,1926,686,1461,1,1,WD
2564,7,1927,851,1718,2,2,WD
2565,5,1951,0,1226,1,2,WD
2566,4,1930,930,1755,2,1,WD
2567,5,1941,728,1355,2,2,WD
2568,6,1960,1560,1560,1,2,WD
2569,6,1968,1488,1488,2,2,CWD
2570,6,1980,516,1045,1,2,WD
2571,4,1995,1680,1680,2,2,WD
2572,8,1988,1004,1020,1,2,WD
2573,7,1971,1696,1696,2,2,WD
2574,8,1986,279,2726,2,2,WD
2575,6,1940,720,1215,1,2,WD
2576,5,1925,936,1601,2,0,WD
2577,5,1923,859,1828,2,NA,WD
2578,5,1922,816,816,1,1,WD
2579,2,1939,0,845,1,1,WD
2580,5,1895,957,1991,2,0,WD
2581,4,1957,1073,1073,1,2,WD
2582,5,1930,837,1001,1,1,WD
2583,8,2006,1573,1625,2,2,New
2584,6,1979,1001,1299,2,2,WD
2585,5,2002,1441,1392,2,3,WD
2586,7,2002,1409,1409,1,2,WD
2587,7,1991,1454,1478,2,2,WD
2588,7,1975,852,918,1,1,WD
2589,6,1974,970,1026,1,2,WD
2590,7,1987,1501,1501,2,2,WD
2591,6,1958,585,2279,2,2,WD
2592,7,2006,1689,1689,2,2,New
2593,8,2006,1546,1564,2,2,New
2594,7,1985,1265,1240,2,2,WD
2595,8,2001,1267,1312,2,2,WD
2596,8,2002,1922,1922,2,3,WD
2597,6,1996,1491,1491,2,2,WD
2598,7,2003,1122,2486,3,2,WD
2599,10,2006,1824,1824,2,3,New
2600,3,1953,0,2034,1,4,WD
2601,6,1996,920,936,0,2,WD
2602,4,1972,546,1092,1,1,WD
2603,4,1970,530,992,1,1,WD
2604,4,1970,546,1092,1,0,WD
2605,4,1976,546,1092,1,1,COD
2606,5,1977,923,1008,1,2,WD
2607,6,1977,1244,1356,2,2,WD
2608,5,1977,1160,1676,1,2,WD
2609,5,1977,716,1432,1,2,WD
2610,5,1971,796,796,1,0,WD
2611,4,1961,1396,1608,1,1,COD
2612,5,1976,1090,1178,1,2,WD
2613,5,1983,816,816,1,1,WD
2614,5,1984,864,887,1,1,WD
2615,6,1954,1178,1293,2,2,WD
2616,6,1956,1008,1024,1,1,WD
2617,5,1957,1617,1797,1,3,WD
2618,6,1957,1705,1390,1,2,WD
2619,7,1969,1851,1851,2,2,WD
2620,6,1997,813,1525,2,2,WD
2621,6,1995,781,1671,2,2,WD
2622,6,1996,821,1776,2,2,WD
2623,8,2005,1074,2064,2,2,WD
2624,7,2005,1700,2212,2,3,New
2625,8,1994,2062,2687,2,2,WD
2626,6,1993,1160,1169,2,2,WD
2627,8,1987,1191,1204,2,2,WD
2628,9,2005,1398,2798,3,3,New
2629,10,2006,1528,3390,3,3,New
2630,9,2006,1094,2473,2,3,New
2631,10,2006,1850,2698,2,3,New
2632,9,2005,1390,2795,3,3,New
2633,9,2005,1714,1714,2,2,WD
2634,9,2005,1910,2000,2,3,WD
2635,6,1980,988,1102,1,2,WD
2636,7,1978,945,1857,2,2,WD
2637,7,1976,1047,1083,1,2,WD
2638,7,2005,960,2318,2,2,New
2639,6,1975,675,1875,3,2,WD
2640,6,1974,1103,1103,2,2,WD
2641,4,1971,864,874,1,2,WD
2642,6,2002,1487,1419,2,2,WD
2643,6,1973,525,1092,1,2,WD
2644,5,1973,765,1365,1,2,WD
2645,6,1972,494,1030,1,1,WD
2646,6,1972,483,948,1,1,WD
2647,6,1972,525,1092,1,1,WD
2648,6,1975,1069,1069,2,2,WD
2649,5,1967,943,1387,1,1,WD
2650,7,1976,1055,1055,2,1,WD
2651,6,1976,855,1456,2,2,WD
2652,9,2006,1738,2589,2,3,New
2653,8,2004,1618,1618,2,3,WD
2654,7,2006,1721,1740,2,3,New
2655,9,2005,1868,1868,2,3,WD
2656,9,2005,1090,2206,2,3,New
2657,9,2005,1606,2091,2,2,New
2658,8,2005,1209,2253,2,2,New
2659,8,2006,1054,2389,2,3,New
2660,8,2005,1524,2358,2,3,New
2661,9,2005,1792,1792,2,3,New
2662,9,2004,1780,1780,2,3,WD
2663,8,2004,1420,1914,2,3,WD
2664,9,2005,1560,1565,2,2,WD
2665,9,2006,1686,1686,2,3,New
2666,9,2006,1666,1666,2,2,New
2667,6,2005,728,1456,2,2,New
2668,7,2006,738,1492,2,2,New
2669,6,2006,1326,1326,2,2,New
2670,8,2004,1052,2373,2,3,New
2671,7,2006,738,1492,2,2,New
2672,7,2006,1220,1364,2,2,New
2673,7,2002,1368,1511,2,2,WD
2674,7,2004,1365,1548,2,2,WD
2675,7,2005,1142,1142,2,2,New
2676,7,2004,848,1598,2,2,WD
2677,6,2000,982,1889,2,2,WD
2678,7,2006,1035,2322,3,3,New
2679,8,1998,1044,1976,2,3,WD
2680,8,2000,1160,2234,2,3,WD
2681,9,2000,1540,2855,2,3,WD
2682,8,1995,1342,2726,2,3,WD
2683,9,1993,1733,3500,3,3,WD
2684,8,1994,1290,2494,2,3,WD
2685,8,1993,1286,2799,2,3,WD
2686,8,2005,1100,1964,2,2,New
2687,8,2006,1670,1670,2,3,New
2688,8,2006,1504,1504,2,2,New
2689,8,2006,1278,1278,2,2,New
2690,9,2006,2036,2640,3,3,New
2691,6,2005,858,1716,2,2,WD
2692,6,2005,1142,1142,1,0,WD
2693,7,2005,1400,1400,2,2,New
2694,6,2005,1131,1131,1,0,New
2695,7,2005,891,1686,2,2,WD
2696,7,2005,784,1585,2,2,WD
2697,6,1997,941,1837,2,2,WD
2698,6,1992,836,1731,2,2,WD
2699,6,1990,1398,1398,2,2,WD
2700,6,1991,1217,1217,2,2,WD
2701,6,1994,636,1320,2,2,WD
2702,5,1962,988,988,1,2,WD
2703,6,1977,0,1654,2,2,WD
2704,5,1962,864,1211,1,2,WD
2705,5,1965,984,984,1,1,WD
2706,5,1968,882,909,1,1,COD
2707,5,1963,925,925,1,2,WD
2708,5,1965,1024,1024,1,1,WD
2709,5,1964,912,912,1,0,WD
2710,5,1967,912,941,1,1,WD
2711,7,1974,1748,2646,2,2,WD
2712,8,1992,1334,2826,2,3,WD
2713,7,2004,1143,1143,1,2,WD
2714,7,2005,600,1223,2,2,WD
2715,6,2000,756,1524,2,2,WD
2716,7,2003,530,1080,2,2,WD
2717,7,1997,569,1694,2,1,WD
2718,8,2001,1568,1568,2,2,WD
2719,5,1972,1153,1193,2,2,WD
2720,7,1967,1334,1334,2,2,WD
2721,5,1968,1051,1051,1,2,WD
2722,5,1968,900,1770,1,2,WD
2723,6,1968,976,976,1,2,WD
2724,5,1968,833,898,1,1,WD
2725,5,1966,1051,1051,1,1,WD
2726,5,1967,1141,1141,1,1,WD
2727,6,1965,1187,1565,2,1,WD
2728,6,1964,1008,1488,1,2,WD
2729,5,1964,720,1440,1,2,WD
2730,5,1960,1248,1248,1,1,WD
2731,6,1934,816,816,1,1,WD
2732,5,1947,938,1043,1,1,WD
2733,5,1961,1251,1433,1,2,WD
2734,5,1952,1444,1624,1,1,WD
2735,5,1951,1056,1216,1,1,WD
2736,5,1949,704,1728,1,1,WD
2737,5,1954,936,936,1,1,WD
2738,5,1967,1584,1584,2,2,WD
2739,6,1964,1246,1246,1,2,WD
2740,6,1963,1008,1008,1,2,WD
2741,5,1957,1179,1364,1,1,WD
2742,6,1958,1121,1336,1,2,WD
2743,5,1956,1058,1370,1,1,WD
2744,6,1956,1124,1124,1,1,WD
2745,6,1954,1050,1050,1,1,WD
2746,5,1952,1008,1008,1,1,WD
2747,6,1951,216,1575,1,2,WD
2748,5,1956,301,1145,1,2,WD
2749,5,1956,1005,1005,1,1,WD
2750,5,1955,1056,1056,1,1,WD
2751,5,1951,884,884,1,1,WD
2752,7,1941,929,2039,1,3,COD
2753,5,1956,1015,1384,1,2,WD
2754,5,1925,2171,2640,2,3,WD
2755,6,1947,784,1312,1,2,WD
2756,3,1930,713,713,1,1,WD
2757,3,1929,715,715,1,2,WD
2758,4,1900,448,720,1,1,WD
2759,6,1915,663,1595,2,2,WD
2760,4,1910,1077,1760,1,2,COD
2761,6,1963,1083,1146,1,1,WD
2762,6,1962,1135,1207,1,1,WD
2763,6,1961,1313,1773,2,2,WD
2764,7,1959,0,1472,2,2,WD
2765,7,1962,1438,2448,3,2,WD
2766,4,1950,910,1521,1,1,WD
2767,3,1950,0,1040,2,2,WD
2768,5,1960,1556,1556,2,0,WD
2769,5,1961,1150,1150,1,1,WD
2770,7,1962,1045,1045,1,2,WD
2771,5,1962,864,864,1,1,WD
2772,5,1962,1025,1025,1,0,WD
2773,5,1900,716,2014,2,2,WD
2774,5,1948,1212,1668,1,1,WD
2775,4,1920,1147,1657,1,1,WD
2776,6,1900,780,1416,1,2,WD
2777,7,1900,712,1428,1,2,WD
2778,7,1930,502,1004,1,1,WD
2779,4,1900,938,1951,2,2,WD
2780,6,1924,1032,1032,1,1,COD
2781,5,1925,844,844,1,1,WD
2782,4,1950,576,864,1,1,COD
2783,3,1905,738,1376,1,1,WD
2784,5,1955,960,960,1,2,WD
2785,5,1924,816,1566,1,2,WD
2786,3,1921,492,492,1,1,WD
2787,6,1945,770,1182,1,1,WD
2788,3,1920,798,840,1,1,WD
2789,7,1910,1226,2104,2,2,WD
2790,5,1920,624,1248,2,0,WD
2791,5,1958,960,960,1,2,WD
2792,3,1918,1020,1020,1,0,ConLD
2793,6,1924,848,1827,1,1,WD
2794,3,1930,728,1162,1,1,ConLI
2795,5,1930,741,1324,1,1,WD
2796,5,1925,816,816,1,1,WD
2797,6,1962,1595,2486,2,2,WD
2798,4,1924,596,1430,2,2,WD
2799,5,1910,396,1330,1,1,WD
2800,5,1919,610,819,1,0,WD
2801,6,1930,984,984,1,1,ConLI
2802,5,1951,806,1422,1,1,WD
2803,6,1964,1921,1921,2,2,WD
2804,5,1950,0,1640,1,2,WD
2805,5,1935,0,1032,1,1,WD
2806,5,1936,830,879,1,1,WD
2807,7,2004,1073,1073,2,1,WD
2808,5,1967,1064,1064,1,2,WD
2809,6,1964,912,934,1,1,WD
2810,5,1966,1059,1059,1,1,WD
2811,5,1967,1176,1458,1,2,WD
2812,6,1978,960,1040,1,2,WD
2813,5,1977,1967,1967,2,2,WD
2814,5,1977,1949,1949,2,2,WD
2815,5,1924,872,872,1,1,WD
2816,7,1967,1865,1830,1,2,WD
2817,5,1963,1000,1000,1,2,WD
2818,5,1971,782,810,1,2,WD
2819,7,1980,430,1700,2,1,WD
2820,4,1954,967,1350,1,2,WD
2821,5,1942,799,1150,1,1,WD
2822,6,1928,672,2009,2,3,WD
2823,6,1935,1836,3672,3,2,WD
2824,5,1962,1776,1560,2,2,WD
2825,5,1952,0,1488,1,2,WD
2826,5,1955,1057,1057,1,1,WD
2827,6,1953,1000,1609,1,1,WD
2828,6,1989,868,2559,2,2,WD
2829,6,1993,1344,1440,2,4,WD
2830,7,2005,1308,1876,2,3,New
2831,7,2005,1208,1208,2,2,WD
2832,6,2006,1836,1846,2,2,New
2833,8,2005,1570,1590,2,3,New
2834,7,2005,945,1809,2,2,New
2835,7,2005,1614,1614,2,2,WD
2836,7,2005,784,1596,2,2,WD
2837,6,1968,1388,1388,2,2,COD
2838,5,1996,1100,1100,1,2,WD
2839,6,1995,781,1499,2,2,WD
2840,7,1998,1425,1425,2,2,WD
2841,7,1999,842,1749,2,2,WD
2842,7,1999,951,1779,2,2,WD
2843,6,1977,675,1388,1,1,WD
2844,6,1978,995,1282,2,3,WD
2845,5,1972,864,864,1,1,WD
2846,7,2002,826,1762,2,2,WD
2847,6,1999,840,1755,2,2,WD
2848,8,2002,1348,1358,1,2,WD
2849,7,2002,872,1909,2,2,WD
2850,8,1999,1090,2214,2,3,WD
2851,7,1996,1065,2049,2,2,WD
2852,7,1998,1054,1939,2,3,WD
2853,7,1995,930,1995,2,2,WD
2854,6,2003,848,848,1,2,WD
2855,7,2003,1390,1390,2,2,WD
2856,7,2006,851,1737,2,2,New
2857,7,2005,784,1611,2,2,WD
2858,7,2005,1336,1336,2,2,New
2859,4,1910,676,1436,2,2,WD
2860,6,1975,976,1012,2,0,WD
2861,5,1969,1176,1176,1,1,WD
2862,7,2003,796,1724,2,2,WD
2863,6,2002,914,914,1,0,WD
2864,7,2003,1150,2314,2,2,ConLD
2865,6,2005,547,1072,1,2,New
2866,7,2004,970,1709,2,2,WD
2867,4,1948,624,936,1,1,WD
2868,6,1915,832,1338,2,2,WD
2869,4,1924,1093,1669,1,1,WD
2870,4,1954,954,1482,2,2,WD
2871,4,1922,864,1414,1,0,COD
2872,2,1922,498,498,1,1,ConLD
2873,4,1910,616,1273,1,1,WD
2874,5,1938,1058,1551,2,1,WD
2875,6,1945,780,1340,1,1,WD
2876,7,1926,624,1479,1,1,WD
2877,6,1920,755,1510,1,1,WD
2878,7,1919,818,1636,1,1,WD
2879,5,1939,992,1465,2,1,WD
2880,5,1941,824,1288,1,1,WD
2881,6,1920,817,1550,1,1,WD
2882,5,1940,901,1717,1,1,WD
2883,7,1929,1022,1671,2,2,WD
2884,7,1932,637,1609,1,3,WD
2885,6,1930,697,1801,1,2,WD
2886,5,1950,1168,2315,2,1,WD
2887,5,1942,976,976,1,1,WD
2888,6,1926,861,1285,1,2,WD
2889,4,1925,432,672,1,0,WD
2890,4,1925,641,641,1,1,WD
2891,6,1957,967,1638,2,1,WD
2892,3,1945,0,729,1,0,WD
2893,5,1951,660,1396,2,0,WD
2894,3,1916,216,936,1,0,WD
2895,8,2005,1573,1778,2,2,New
2896,8,2004,1594,1646,2,2,WD
2897,6,1979,1625,1625,2,2,WD
2898,6,1978,1664,1664,2,2,WD
2899,8,2001,1491,1491,2,2,WD
2900,6,1975,1128,1210,2,2,WD
2901,6,1958,1632,1650,1,2,WD
2902,6,2000,1381,1403,2,2,WD
2903,8,2005,1728,1960,2,3,New
2904,9,2005,1838,1838,2,3,New
2905,1,1951,0,1600,1,1,WD
2906,7,1997,1288,1368,2,4,WD
2907,5,1977,264,1304,1,1,WD
2908,5,1968,864,874,1,1,WD
2909,5,1970,1652,1652,2,3,WD
2910,4,1970,630,630,1,0,WD
2911,4,1972,546,1092,1,1,WD
2912,5,1969,1104,1360,1,1,WD
2913,4,1970,546,1092,1,1,WD
2914,4,1970,546,1092,1,0,WD
2915,4,1970,546,1092,1,0,WD
2916,4,1970,546,1092,1,1,WD
2917,5,1960,1224,1224,1,2,WD
2918,5,1992,912,970,1,0,WD
2919,7,1993,996,2000,2,3,WD
